idx,n,m,heur_greedy,heur_ls,exact,gap_exact_minus_ls,status,solve_time_sec,graph6
141,30,84,22,23,23,0,OPTIMAL,13.8278,]~TWOTHoGB_Z?D_Cq?{_@E?GICg?@W??W??@???W??I_??J??@m??Ag_?@KG??@B?p???@C??G
142,30,84,21,23,23,0,OPTIMAL,16.9615,]{kxZJDDGH_A?L?H_CW?D??C??w?BW?Es?d?_G?K_g@_A_@CC?AC??AA???W???F????[???JO
143,30,84,23,24,24,0,OPTIMAL,2.3494,]|KGXCH?wB_JAkIWCGHA@Wo?E?IG?W??[??D???w??B_??u??@HV??_G???GG?K?E???RO??@_
144,30,84,23,25,25,0,OPTIMAL,0.4783,]{khW[iGgo?@?BAA_@W?TA@oK?GW?GG?WCKH@??G??R???L??AI?A?G?@??G_O??c???BsG?pw
145,30,84,20,25,25,0,OPTIMAL,1.7802,]|mk[UH_[@oD`_@_e??o@I?K??x_?C_?EO?@c??G_?@_??F???L???D_???w???L???DR_?B??
146,30,84,24,25,25,0,OPTIMAL,0.7021,]~sW[UV?wwW?a@a?h?q?GO?E?CU??w??K??F??@g??D_??k??DO??C__??WW??E@???OK??@?g
147,30,84,26,26,26,0,OPTIMAL,0.1748,]~kxGSFBGW`EAX?W`W?S??_K??wO@gC?_G?P??CW??a_?AB??CK??CG_?A?XS?B?[????o???G
148,30,84,23,25,25,0,OPTIMAL,0.5628,]~dWO[F?G@_F@I?IgbOGD@?N?Oc??G?_K?OD?C?W?_E?A?P?C?`Ak?__[???B??@a??_OG??@G
149,30,84,24,25,25,0,OPTIMAL,0.5414,]|Cwg[ZZ?O@BOFOC_AG?F??s?Ao?dG?cCWI?O?_I?C?g??E?A_G?A_?_@?CO_?@?C???FO??cW
150,30,84,24,25,25,0,OPTIMAL,0.4611,]}kXW[e@gH_F?J@c?UBh?GGCC_U_?A_?E??A???G_?DA??CC??B???Ja??E_??@`c??KGO???g
151,30,84,24,24,24,0,OPTIMAL,2.2424,]~\SCcVDGH_d@g@?_CW@D?GWC`GH?G@?N???__?KC??o??B?__K??_?_???G??@c???GxCA?`g
152,30,84,23,24,24,0,OPTIMAL,3.7576,]~mj`cRCgD_R?F?D_BO?[?@c?AW??w??k??T??CW??a_?AH??B_??@__@Q??CW???`??CQO???
153,30,84,24,25,25,0,OPTIMAL,1.4229,]{liW\YSI?gBCECAa?G_BC?KO?W_?g_?cO?PC?S??A_??A@??CD??OF_?M?C_@????G?F?H_?W
154,30,84,24,24,24,0,OPTIMAL,8.4053,]|^Y[iD`K@_F?D?G_?W?D??c?EG?CW@Jw?_@???W??B_?_I?H?D?G?K_??AW??q??Ko???o??G
155,30,84,22,25,25,0,OPTIMAL,1.1305,]|mSkKF@WH_dc_@?A_G_B@?S??W??g??K??B???g???o??@`??@@?AB_??FG??ZB???GNo?Q[?
156,30,84,24,25,25,0,OPTIMAL,1.3827,]~uGGKB?g[@PA`a???K?Bc?KW@g_?W?@W??dA?oC?A?o??B_??B?k_D???Ag???J?__?QD_?D?
157,30,84,23,25,25,0,OPTIMAL,1.2302,]~u[[KD_WBoE`H@o?oGCB?OO@@GA?OA?CD?@???W??B_??J???R@??K?_GAG???b????[?@JO_
158,30,84,24,25,25,0,OPTIMAL,1.8199,]~mW{i?_K_oB?E?Aa@G_BS?S?BI?CY??F??@_??[@??_C?B?G?T?G_o_??WG@??E?E_???q?@?
159,30,84,23,24,24,0,OPTIMAL,5.0121,]|^WgSP?wdaKEPAO`GGM??OC@?WQ?OO?SC?HA??W??B`_?E@?EG??E?_oA?Cg???c???E????W
160,30,84,24,24,24,0,OPTIMAL,2.5067,]|LgyM@?YA_JoAOA_@]?C_Ma?AG@_O`?A?_@c??W`?AAC?@C??B?w?@AO??g_??H???@K???CW
161,30,84,23,24,24,0,OPTIMAL,3.5988,]|[wxWLuAOgBOBcCBA?o@ACG?O_?@G?@C??h??AW??Q_?@H??AB?CAP?A?wG_`??CC??CO???W
162,30,84,22,24,24,0,OPTIMAL,3.1508,]|nOgcPP_?_R?B?`_OG?J?`K?CWCB?CE?A@@??OWC?B?@OG?A?@G???K???I?_?B?E?@sr_@DG
163,30,84,24,25,25,0,OPTIMAL,0.9401,]{e\RsbSQ_w@OBc@A@__PC?K?D__AG_@G??FC??g_??_??B???D???Da??M???B@???OKO??]_
164,30,84,26,26,26,0,OPTIMAL,0.1655,]{mWwkRdCGoB_D_BO?G?J?@S?DK?H_?Gc?CB_@?_?GC_?_P?@?`]???K???M_??AE???OG??@G
165,30,84,24,24,24,0,OPTIMAL,4.7618,]~SGGKB?WIqoE@Bl_`GGB@?SCG_G@G?PG?X_?@oE?G?H__?O??B?@?B_?_@G???R???AS???F?
166,30,84,23,25,25,0,OPTIMAL,0.9030,]~uCYK@?G@_L?V?o_GWEA?coI?GS?GO?W??LQ??QO??_?@G???TOWAD_E@?MI???OO??CD???O
167,30,84,24,24,24,0,OPTIMAL,3.9440,]~^QiKF@WI_e@D?wQ_CG?_?E??k?@GG@w??P??EG??o_?@M???L_?C??_A?GG??B`???U??O@?
168,30,84,24,25,25,0,OPTIMAL,0.8218,]{egxKbGH@cA?gC_?OG?@?_K??w?@WC?oA?@???W_B__??@???B??CUKUoFE???@c??BkO??KG
169,30,84,24,25,25,0,OPTIMAL,0.5993,]~DYW\AOGO@P?b?`_POC@??K?AgCCW??[A?Y??Ag??S_??R?iG?AI??_C??Wo???E???FWo?@O
170,30,84,24,24,24,0,OPTIMAL,2.8773,]|kocCB?WEOH?B_@o?W?F?AaQ?CCDWCOS?G@???WC?A_P?F?_?B?A?H?@??nn_??o???E????W
